Formula,Source,ID,space group,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,ν,wcc
NClO6,ICSD,25817,C2/c (15),1,16,96,1,2.1258,2.155,0,(0;000),0
NbSeI3,ICSD,410743,C2/c (15),1,20,160,2,0.5739,0.58,0,(0;000),0
Nb2SnO6,COD,9004194,C2/c (15),1,18,152,3,1.9288,1.948,0,(0;000),0
Nb2O5,COD,1528678,C2/c (15),1,14,112,3,2.7685,2.894,0,(0;000),0
Nb2O2F3,COD,4123273,C2/c (15),1,14,118,3,0,0,0.85,(1;100),0
NaZnSO4F,ICSD,262274,C2/c (15),1,16,116,3,4.4205,4.421,0,(0;000),0
NaYO2,ICSD,2740,C2/c (15),1,16,128,3,4.2228,4.223,0,(0;000),0
NaV(SiO3)2,COD,2010143,C2/c (15),1,20,132,3,0,0.009,0.186,(1;000),0
NaVO3,ICSD,20556,C2/c (15),1,20,160,1,3.2206,3.248,0,(0;000),0
NaV(GeO3)2,ICSD,99742,C2/c (15),1,20,132,3,0,0.009,0.165,(1;000),0
NaV2O4,COD,4330682,C2/c (15),1,14,118,2,0,0,0.511,(0;101),0
NaTi(SiO3)2,COD,2104036,C2/c (15),1,20,130,3,0,0,0.941,(0;101),0
NaTaGeO5,COD,2102920,C2/c (15),1,16,112,3,3.5172,3.518,0,(0;000),0
NaSi,COD,8102990,C2/c (15),1,16,104,1,1.1134,1.225,0,(0;000),0
NaSi,ICSD,174082,C2/c (15),1,16,104,1,1.0045,1.393,0,(0;000),0
NaSc(SiO3)2,COD,2009802,C2/c (15),1,20,128,3,5.1238,5.277,0,(0;000),0
NaSc(SiO3)2,COD,9011146,C2/c (15),1,20,128,3,5.1211,5.277,0,(0;000),0
NaSc(GeO3)2,ICSD,22503,C2/c (15),1,20,128,3,4.0198,4.02,0,(0;000),0
NaP4N7,ICSD,410629,C2/c (15),1,24,128,3,3.9679,4.005,0,(0;000),0
NaMn(SiO3)2,COD,9003407,C2/c (15),1,20,136,3,0,0.033,0.285,(0;000),0
NaMn(GeO3)2,ICSD,237747,C2/c (15),1,20,136,3,0,0.005,0.265,(0;110),0
NaMgSO4F,ICSD,262272,C2/c (15),1,16,112,3,5.6507,5.651,0,(0;000),0
NaMgBO3,COD,4307923,C2/c (15),1,12,80,3,3.7545,3.755,0,(0;000),0
NaLiV2O6,ICSD,30019,C2/c (15),1,20,148,1,2.7521,2.821,0,(0;000),0
NaLiV2O6,ICSD,20836,C2/c (15),1,20,148,1,3.095,3.183,0,(0;000),0
NaIn(SiO3)2,COD,9003413,C2/c (15),1,20,132,3,2.9551,3.02,0,(0;000),0
NaHCO2,ICSD,151320,C2/c (15),1,10,52,1,4.7608,4.824,0,(0;000),0
NaGeSbO5,ICSD,39646,C2/c (15),1,16,96,3,2.5211,2.521,0,(0;000),0
NaGa(SiO3)2,COD,9010189,C2/c (15),1,20,132,3,4.6378,4.734,0,(0;000),0
NaGa(SiO3)2,COD,2004306,C2/c (15),1,20,132,3,4.6082,4.699,0,(0;000),0
NaFeSO4F,ICSD,262276,C2/c (15),1,16,108,3,0.1321,0.161,0,(0;000),0
NaFe(SiO3)2,COD,9013273,C2/c (15),1,20,122,3,0,0,0.432,(0;101),0
NaFe(GeO3)2,ICSD,180305,C2/c (15),1,20,122,3,0,0,0.291,(1;101),0
NaCuSO4F,ICSD,262273,C2/c (15),1,16,114,3,0,0,0.143,(1;101),0
NaCu3F7,COD,1000232,C2/c (15),1,22,182,3,0,0,0.65,(1;011),0
NaCr(SiO3)2,COD,9003052,C2/c (15),1,20,134,3,0,0,0.37,(1;101),0
NaCr(GeO3)2,COD,2016854,C2/c (15),1,20,134,3,0,0,0.468,(1;011),0
NaCoSO4F,ICSD,262275,C2/c (15),1,16,126,3,0,0.001,0.551,(1;011),0
NaClO2,ICSD,22,C2/c (15),1,8,56,1,2.5433,2.543,0,(0;000),0
NaBiO2,COD,8103708,C2/c (15),1,8,72,3,1.311,1.317,0,(0;000),0
NaAl(SiO3)2,COD,9010377,C2/c (15),1,20,112,3,5.953,5.965,0,(0;000),0
NaAlPO4F,ICSD,40522,C2/c (15),1,16,96,3,5.8439,5.844,0,(0;000),0
NaAlAsO4F,COD,1011040,C2/c (15),1,16,96,3,4.1684,4.168,0,(0;000),0
NaAg(CN)2,ICSD,65697,C2/c (15),1,12,76,1,2.7425,2.854,0,(0;000),0
Na5TaO5,ICSD,72297,C2/c (15),1,22,176,1,2.5752,2.575,0,(0;000),0
Na5NbO5,ICSD,72298,C2/c (15),1,22,176,1,2.6434,2.643,0,(0;000),0
Na4B2O5,COD,1524718,C2/c (15),1,22,144,1,3.8345,3.86,0,(0;000),0
Na3TaF8,COD,2017817,C2/c (15),1,24,192,1,5.1794,5.221,0,(0;000),0
Na3BS3,COD,1511253,C2/c (15),1,14,96,1,2.5788,2.726,0,(0;000),0
Na2TeSe3,ICSD,63011,C2/c (15),1,24,168,1,1.2376,1.291,0,(0;000),0
Na2SrSn4,COD,8103057,C2/c (15),1,14,168,1,0,0.036,0.351,(0;000),0
Na2Si3O7,COD,9006345,C2/c (15),1,24,144,3,4.9635,4.964,0,(0;000),0
Na2RuO3,COD,1532912,C2/c (15),1,24,208,3,0,0.023,0.366,(0;000),0
Na2PtO3,ICSD,25019,C2/c (15),1,24,184,2,1.534,1.615,0,(0;000),0
Na2CS3,ICSD,73094,C2/c (15),1,12,80,1,1.1499,1.499,0,(0;000),0
Na2BeB2O5,COD,2214424,C2/c (15),1,20,116,1,4.9414,4.981,0,(0;000),0
