SG,Top_Class,Formula,Source,ID,centered,natoms,nelectrons,dim,bandgap,directbandgap,metallicity,Z2,wcc
12,2.0,MnSbS2Br,ICSD,172782,1.0,10.0,78.0,3.0,0.0,0.002,0.364,(1;111),0.0
12,2.0,Bi2Pd5,ICSD,58840,1.0,14.0,120.0,3.0,0.0,0.026,0.782,(1;000),0.0
12,2.0,Bi2Pd3S2,ICSD,616954,1.0,14.0,192.0,3.0,0.0,0.056,0.857,(1;111),0.0
12,2.0,Bi2Pd,ICSD,42565,1.0,6.0,80.0,3.0,0.0,0.126,0.692,(1;000),1.0
12,2.0,MnBiSe2I,ICSD,415138,1.0,10.0,98.0,3.0,0.0,0.006,0.308,(1;001),0.0
12,2.0,Bi4I,ICSD,246145,1.0,20.0,108.0,3.0,0.0,0.059,0.855,(1;001),0.0
12,2.0,Ba5Cd2(Sb2O)2,ICSD,423458,1.0,13.0,106.0,3.0,0.0,0.057,0.125,(1;111),0.0
12,2.0,Ba3(LiSn2)4,ICSD,240016,1.0,15.0,154.0,1.0,0.0,0.021,0.313,(1;000),0.0
12,2.0,Ba2Mg3Si4,ICSD,408938,1.0,18.0,132.0,3.0,0.0,0.011,0.303,(1;111),0.0
12,2.0,BaSb3,ICSD,49000,1.0,8.0,50.0,1.0,0.0,0.104,0.361,(1;001),1.0
12,2.0,ScB2Ir3,ICSD,614561,1.0,6.0,68.0,3.0,0.0,0.011,0.364,(1;001),0.0
12,2.0,P3Au2,ICSD,8058,1.0,10.0,74.0,3.0,0.0,0.089,0.119,(1;100),1.0
12,2.0,SrAs3,ICSD,41831,1.0,8.0,50.0,1.0,0.0,0.043,0.272,(1;001),1.0
12,2.0,Mn4As3,ICSD,80375,1.0,14.0,150.0,3.0,0.0,0.003,0.608,(1;111),0.0
12,2.0,BaAs3,ICSD,86402,1.0,8.0,50.0,1.0,0.0,0.032,0.224,(1;001),1.0
